symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,vol_open5,n_prior,rvol_open5,ratr,ratr_tier,_rp_position,_rp_pnl,_composite,_quintile,_q_rank,_sized_pnl,month,_anchor
MSTZ,2025-01-07,16.07809,-2062.8836800000004,-4.126858351955986,stop,0,1,3.821656050955424,724838.0,2.023656391167438,27.85015029458969,2.0,0.5834999999999977,0.5101910828025468,1.0,0.5583956257571597,6.73011556764105,36.16519374575119,0.0732908513317921,250048374.0,17.742965727385336,-45.69503438161517,423.61183517065416,0.095972813644451,0.1389284100229384,-0.0753226319401322,0.3460091373286659,1.2950402815366315,1.0,7.0,1089767.0,14.0,1.7831303644137306,0.1149982838479826,narrow,3333.3333333333335,-137.5255786666667,0.304790333514907,Q4,0,-137.5255786666667,2025-01,MSTR
ARQQ,2025-01-16,23.86137,9002.197091939994,18.00815063007697,scale_eod,1,1,7.428825622775792,109456.0,2.367766447603143,58.52490520314221,4.0,0.8862275449101809,4.982206405693955,1.0,3.333897672508748,9.179213210296265,25.88635259834872,0.0956848030018764,1294414.1,24.12943322500364,-57.416177306308015,18.30061229943164,1.0320507170000697,0.1582012184859707,-0.0858325759870731,0.2353318263099264,1.0145048394102745,3.0,16.0,109456.0,14.0,1.213110341628232,0.2186016235283359,narrow,3333.3333333333335,600.1464727959996,0.3274901844733177,Q4,0,600.1464727959996,2025-01,ARQQ
NTRB,2025-01-23,8.49541,-918.38276702858,-1.836931304248849,stop,1,1,6.500000000000005,123163.0,2.366486125007297,55.66966199688503,5.0,1.0,5.875000000000008,1.0,3.891165454198969,8.99182561307902,26.839237057220704,0.5736040609137056,319032.93333333335,9.903021011227516,-2.200488997555009,13.364142806332044,13.617625473984504,0.0660283922086459,0.0165070980521661,-0.1055339357562331,0.5870477597970133,3.0,23.0,123163.0,10.0,3.4018417447410285,0.93182697422506,wide,3333.3333333333335,-61.22551780190534,0.15506691641180417,Q2,3,-61.22551780190534,2025-01,NTRB
KC,2025-02-04,16.31,0.0,0.0,no_fill,0,0,2.4927176944530447,617314.0,1.6877490839404583,67.72234056441734,3.0,0.7120835405270998,0.3669042454291727,0.0,0.5780827230472392,6.571994715984155,11.690885072655217,0.322033898305085,2715816.5,6.615333101022936,-1.2545899632802833,7.334032500121578,4.16844437022899,0.1505352960856477,0.0301104048176754,0.0100373053181088,1.364199540683512,1.0,4.0,617314.0,14.0,3.3687103170504207,0.3689517614190833,normal,3333.3333333333335,0.0,0.30774370874139445,Q4,0,0.0,2025-02,KC
CRML,2025-02-07,6.46,0.0,0.0,no_fill,0,0,7.528641571194762,31158.0,2.8319958432308923,67.30950382261493,4.0,0.9565217391304356,5.400981996726678,1.0,3.5037982855855034,6.260869565217398,62.782608695652165,0.0969529085872575,166106.45,15.184568887903987,-38.22042467138524,10.3465071623442,5.697202005099741,0.1499448005404738,0.0502562243569779,0.094009763821074,0.8076316014152966,4.0,7.0,31158.0,14.0,4.468698458228756,0.4481030940636977,normal,3333.3333333333335,0.0,0.31023978713218014,Q4,0,0.0,2025-02,CRML
BZAI,2025-02-12,3.74,0.0,0.0,no_fill,0,0,6.12299465240642,42322.0,2.168971458614428,129.3385841783524,1.0,0.4755458515283831,-3.2112299465240723,0.0,-0.9869858322050556,16.510903426791284,21.49532710280374,0.0,479970.9,24.48353831236813,-80.57142857142857,14.069277503393316,1.601405418536832,0.1985881881748334,0.0684211404635896,-1.0094001420759446,0.789295802300032,2.0,12.0,42322.0,14.0,1.5302455074664645,0.2798003105504171,narrow,3333.3333333333335,0.0,0.25601609961645466,Q3,2,0.0,2025-02,BZAI
BKSY,2025-02-19,21.01285,-1049.842512782147,-2.100123104943616,stop,0,1,4.197169350902877,304616.0,2.0755089421233186,72.64108826185517,3.0,0.988372093023258,2.1961932650073344,1.0,2.1511668272739866,8.700265251989373,17.931034482758616,0.5118343195266275,2098334.6,10.66184776103057,-0.0487804878048856,8.75515310675867,1.961672366266085,0.0735477314450614,0.012686860739577,-0.2305843104547855,0.6429700152781618,2.0,19.0,304616.0,14.0,2.9916059290228896,0.522521698608544,normal,3333.3333333333335,-69.98950085214314,0.273383789739213,Q3,2,-69.98950085214314,2025-02,BKSY
TUYA,2025-02-20,3.4152149999999994,6573.402660959997,13.147134631348242,scale_eod,1,1,4.447852760736197,691582.0,1.3149331728839582,39.32914924780964,4.0,0.5862068965517269,2.607361963190197,0.0,0.1513868513931112,6.535947712418292,14.37908496732026,0.0454545454545455,4935103.6,9.14296283773402,-11.891891891891902,8.16668513319633,2.1983726947495086,0.0873191071866555,-0.0474204889215867,-0.2267795669978605,0.4740886838609913,3.0,20.0,691582.0,14.0,1.4597594554616589,0.4342812631429744,normal,3333.3333333333335,438.2268440639998,0.3468966936111162,Q4,0,438.2268440639998,2025-02,TUYA
MSTX,2025-04-22,30.5449608,2687.652211199997,5.378364080270806,eod,1,1,3.3398319327731114,624066.0,1.346286194584538,44.64501269382488,2.0,0.7697262479871144,1.595966386554616,0.0,0.9034693883348656,6.745604592752059,13.740222461428056,0.4098292160651804,12642439.6,17.7829981706825,-20.56605033041853,16.289786216357594,0.9132124309298658,0.0,0.0,1.2181832334397118,2.4339923439526068,1.0,22.0,624066.0,14.0,1.4116961587214645,0.2035620141027931,narrow,3333.3333333333335,179.17681407999982,0.3041284503635249,Q4,0,179.17681407999982,2025-04,MSTR
SMCZ,2025-05-07,17.91,0.0,0.0,no_fill,0,0,2.3661971830986013,31189.0,0.7006151786774687,81.56481284402479,1.0,0.5238095238095274,-0.2253521126760515,0.0,-0.3329641148520201,11.84625078764966,11.405166981726532,0.2872928176795577,385972.1,14.291440867222748,-21.28603104212861,12.549455907838864,1.8881546101389195,0.2196018923502823,0.0178523609747429,0.2415891195418795,1.0267214158535585,2.0,7.0,31189.0,14.0,2.413702370883844,0.1654922879682442,narrow,3333.3333333333335,0.0,0.37643113459750516,Q4,0,0.0,2025-05,SMCI
