symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,_rp_position,_rp_pnl,ofi_range,tai_range,ofi_break60,tai_break60,spread_at_break_bps,n_trades_range,n_trades_break60,_composite,_quintile,_q_rank,_sized_pnl,month,_anchor
SMST,2025-01-07,4.76425,-2191.252139999997,-4.382851445663005,stop,0,1,4.077253218884128,879413.0,1.958415098978716,50.45808244133554,2.0,0.6315789473684204,0.429184549356214,1.0,0.6042332236919158,7.126436781609208,36.09195402298852,0.0636942675159233,24044255.95,17.6686483218455,-45.65597667638484,14.897888249364168,1.1739609684199857,0.1389284100229384,-0.0753226319401322,0.3460091373286659,1.2950402815366315,1.0,7.0,3333.333333333333,-146.08347599999976,2.091633828432858,0.2233240617274293,-0.5078317172646915,0.2917447346940581,21.030494216613643,36,16,0.36860664843146196,Q4,0,-146.08347599999976,2025-01,MSTR
AMPX,2025-01-10,3.35002,5043.700053599998,10.087592074077165,scale_eod,1,1,4.338509316770184,307181.0,1.9660449738727968,81.31286791055618,4.0,0.6256263421617766,2.1024844720496856,1.0,0.6662893177460977,6.270627062706284,23.43234323432344,0.2253521126760559,4680764.5,14.559644873187915,-23.424494649227107,10.653273095800936,0.980000809696792,0.3174711545026308,-0.1194783914794916,-0.6123937641011745,1.2672413975357937,4.0,10.0,3333.333333333333,336.24667023999984,11.558050932424305,0.5133220440894221,0.5435195743063475,0.6164185990531975,59.523809523809575,55,15,0.30561387780656,Q4,0,336.24667023999984,2025-01,AMPX
ARQQ,2025-01-16,23.86137,9002.197091939994,18.00815063007697,scale_eod,1,1,7.428825622775792,109456.0,2.367766447603143,58.52490520314221,4.0,0.8862275449101809,4.982206405693955,1.0,3.333897672508748,9.179213210296265,25.88635259834872,0.0956848030018764,1294414.1,24.12943322500364,-57.416177306308015,18.30061229943164,1.0320507170000697,0.1582012184859707,-0.0858325759870731,0.2353318263099264,1.0145048394102745,3.0,16.0,3333.333333333333,600.1464727959994,0.4255036234292932,0.5343858310067241,11.140842148931757,0.9899175022123406,122.182431009058,20,15,0.3686815103556574,Q4,0,600.1464727959994,2025-01,ARQQ
PDYN,2025-01-23,10.320869999999998,-2468.1723955799957,-4.936908163472921,stop,0,1,6.599999999999984,614192.0,2.958620841944104,43.00096187001729,3.0,0.8610606060606065,1.982999999999997,1.0,2.5504180506301166,5.152471083070455,25.657202944269187,0.0368852459016392,15734920.2,23.77533164655521,-33.11036789297658,20.947669532721765,1.958326614201704,0.0660283922086459,0.0165070980521661,-0.1055339357562331,0.5870477597970133,3.0,23.0,3333.333333333333,-164.5448263719997,22.244716117902943,-0.1742809675699686,,,,116,0,0.3080301153639203,Q4,0,-164.5448263719997,2025-01,PDYN
NTRB,2025-01-23,8.49541,-918.38276702858,-1.836931304248849,stop,1,1,6.500000000000005,123163.0,2.366486125007297,55.66966199688503,5.0,1.0,5.875000000000008,1.0,3.891165454198969,8.99182561307902,26.839237057220704,0.5736040609137056,319032.93333333335,9.903021011227516,-2.200488997555009,13.364142806332044,13.617625473984504,0.0660283922086459,0.0165070980521661,-0.1055339357562331,0.5870477597970133,3.0,23.0,3333.333333333333,-61.22551780190533,6.036387477462712,1.0,3.472538597823336,0.0366366828858225,1818.1818181818185,22,14,0.19128630193264404,Q2,3,-61.22551780190533,2025-01,NTRB
LAES,2025-01-24,4.45,0.0,0.0,no_fill,0,0,3.409090909090917,1043018.0,1.9157996418985888,45.74568340393124,3.0,0.9319999999999988,0.9045454545454458,1.0,1.6308521322759066,8.10810810810811,15.970515970515956,0.1846153846153849,77679745.0,27.95571267071567,-60.0,23.04294784712256,0.325923997304574,0.080352896803924,0.0065594201472716,0.009840098400975,0.6091130582638482,4.0,24.0,3333.333333333333,0.0,10.423051864721328,0.0802264495595458,,,,107,0,0.4714375077074328,Q5,1,0.0,2025-01,LAES
GHRS,2025-02-04,19.19,0.0,0.0,no_fill,0,0,4.9504950495049656,25545.0,2.169796012932918,110.219081927965,1.0,0.4578947368421063,-2.683689421573739,0.0,0.4346890587194769,6.670372429127309,16.620344635908832,0.1605351170568552,606164.3,8.777687800781067,-6.390243902439018,15.70580170597001,17.003248129261323,0.1505352960856477,0.0301104048176754,0.0100373053181088,1.364199540683512,1.0,4.0,3333.333333333333,0.0,1.8485523385300668,0.8325841101594662,,,,5,0,0.22839461047429507,Q3,2,0.0,2025-02,GHRS
NVNI,2025-02-05,6.24869,-2420.639342100001,-4.841688417892393,stop,0,1,4.461032185568676,68621.0,2.6527950692949136,71.13235535606722,0.0,0.4580784454839858,-2.4095031703989105,0.0,-0.5124552662642915,8.527874564459923,35.36585365853659,0.0935960591133006,22983062.2,28.355560538944147,-17.81662269129288,45.7084576036692,0.074886539705749,0.0882392115077205,-0.0366275972296262,-0.189438000598223,1.3180425183298543,2.0,5.0,3333.333333333333,-161.37595614000006,3.1941117430578787,0.8170438494616905,,,,18,0,0.23689519947949175,Q3,2,-161.37595614000006,2025-02,NVNI
TNXP,2025-02-07,13.9417,3979.471563799994,7.959749259165958,scale_lock,1,1,5.522827687776141,298127.0,2.577324747969444,40.84600543720455,2.0,0.7733333333333334,1.104565537555231,1.0,2.2416948778991523,20.818505338078293,38.21174377224199,0.0966239813736905,113674660.25,21.41822705132717,-24.55555555555556,2177.4406731335075,0.0183023111344641,0.1499448005404738,0.0502562243569779,0.094009763821074,0.8076316014152966,4.0,7.0,3333.333333333333,265.2981042533329,-3.556701478414112,0.218854512608977,20.81618014255232,0.7330359796491225,260.6806661839243,170,213,0.32932745220381643,Q4,0,265.2981042533329,2025-02,TNXP
BZAI,2025-02-12,3.74,0.0,0.0,no_fill,0,0,6.12299465240642,42322.0,2.168971458614428,129.3385841783524,1.0,0.4755458515283831,-3.2112299465240723,0.0,-0.9869858322050556,16.510903426791284,21.49532710280374,0.0,479970.9,24.48353831236813,-80.57142857142857,14.069277503393316,1.601405418536832,0.1985881881748334,0.0684211404635896,-1.0094001420759446,0.789295802300032,2.0,12.0,3333.333333333333,0.0,-1.262702395221746,0.045162432904462,,,,27,0,0.31744826528930403,Q4,0,0.0,2025-02,BZAI
