symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry
WYHG,2025-01-10,10:42:00,4.52,4.37,4.77,2192,10:44:00,4.51,pp+stop,191.79,1.94,True,4.61,2189,191.83,34.02,109600,8.05,-2.19,False,-0.14,2,7.61,6.82,3.00,1.00,0.30,0.30,0.30,0.30,0.20,3.600,1.272,0.20,0.00,23.52,17.680,1.272,
CTEV,2025-01-13,09:36:00,14.82,14.45,15.22,7788,09:38:00,14.41,stop,-3219.17,-2.79,False,,0,0.00,19.2,194708,4.28,5.53,False,0.02,2,15.40,5.55,2.30,2.00,0.00,0.30,0.30,0.30,0.20,2.300,1.356,0.20,0.00,15.40,0.568,1.356,
CPIX,2025-02-05,09:39:00,4.44,4.24,4.88,20000,09:43:00,4.67,pp+trail_stop,2925.59,3.29,True,4.59,19980,2921.08,67.45,1357654,5.40,6.12,False,-0.01,3,14.58,5.59,1.50,2.00,0.00,0.00,0.00,0.30,0.00,1.500,1.328,0.20,0.00,16.62,1.392,1.328,
JG,2025-02-10,09:37:00,12.86,12.49,13.61,15552,09:42:00,13.36,pp+trail_stop,1267.16,0.63,True,12.94,19980,1619.58,49.48,2271962,3.26,4.68,False,-0.06,3,10.67,3.61,1.70,2.00,0.00,0.30,0.00,0.00,0.20,1.700,0.983,0.20,0.00,15.83,0.727,0.983,
ASYS,2025-02-14,09:43:00,5.71,5.48,6.02,1468,09:45:00,5.69,pp+stop,-83.61,-1.00,True,5.65,1466,-83.58,18.45,36732,4.32,4.90,False,0.05,3,5.83,5.47,2.00,2.00,0.30,0.00,0.30,0.00,0.20,2.000,0.899,0.20,0.00,15.88,8.823,0.899,
CNVS,2025-02-14,09:59:00,4.2,4.09,4.39,5245,10:01:00,4.08,stop,-641.31,-2.91,False,,0,0.00,28.15,145734,0.17,2.68,False,0.05,3,6.89,0.84,1.90,1.80,0.30,0.30,0.30,0.00,0.00,1.900,0.899,0.00,0.00,28.42,1.211,0.899,
INLF,2025-02-14,09:46:00,10.36,9.90,11.39,11638,09:57:00,10.33,pp+stop,681.49,0.57,True,10.42,11626,681.86,288.89,292884,8.51,-2.89,False,0.05,2,7.49,5.76,1.20,2.00,0.30,-0.30,0.00,0.00,0.00,1.200,0.899,0.20,0.00,17.83,2.610,0.899,
FLD,2025-02-19,10:20:00,12.16,11.76,13.01,13529,10:23:00,12.12,pp+stop,4087.78,2.48,True,12.46,13515,4088.29,36.59,127864,3.19,-6.76,False,-0.02,3,13.74,3.64,2.30,1.00,0.00,0.30,0.30,-0.50,0.00,2.300,0.648,0.20,0.00,36.59,1.216,0.648,
INSG,2025-02-20,09:49:00,9.5,9.18,10.17,2293,09:53:00,9.47,pp+stop,664.11,3.05,True,9.79,2290,664.20,43.49,114681,1.25,-8.63,False,0.00,3,7.88,1.74,2.10,1.00,0.30,0.00,0.30,-0.50,0.00,2.100,0.476,0.00,0.00,23.29,1.380,0.476,
RPID,2025-02-24,10:31:00,3.04,2.99,3.13,18000,10:34:00,3.03,pp+stop,-164.16,-0.30,True,3.03,17982,-164.00,20.41,583313,5.03,-1.56,False,0.02,2,7.36,5.54,3.00,1.80,0.30,0.30,0.30,0.00,0.20,3.300,1.059,0.20,0.00,20.41,2.142,1.059,
LE,2025-02-25,09:02:00,13.04,12.49,14.24,3228,09:34:00,13.0,pp+stop,484.44,1.15,True,13.19,3224,484.60,11.6,80719,7.98,0.89,False,0.00,2,8.23,7.62,2.30,2.00,0.30,0.00,0.30,0.30,0.20,2.300,1.224,0.20,0.00,15.38,1.486,1.224,
MSW,2025-02-27,09:47:00,5.09,4.80,5.59,16824,09:53:00,5.07,pp+stop,-1094.73,-1.28,True,5.02,16807,-1094.47,24.41,420612,3.39,7.20,False,0.05,2,5.78,5.14,1.80,2.00,0.30,-0.30,0.30,0.30,0.00,1.800,1.271,0.20,0.00,17.78,0.147,1.271,
PMA,2025-02-27,09:47:00,5.09,4.80,5.59,16824,09:53:00,5.07,pp+stop,-1094.73,-1.28,True,5.02,16807,-1094.47,24.41,420612,3.39,7.20,False,0.05,2,5.78,5.14,1.80,2.00,0.30,-0.30,0.30,0.30,0.00,1.800,1.271,0.20,0.00,17.78,0.147,1.271,
