key,exit,split,gross_n,gross_tpw,gross_meanR,gross_se,gross_t,gross_WR,gross_wkR,gross_green,gross_worst,s4_n,s4_tpw,s4_meanR,s4_se,s4_t,s4_WR,s4_wkR,s4_green,s4_worst,corr_n,corr_tpw,corr_meanR,corr_se,corr_t,corr_WR,corr_wkR,corr_green,corr_worst,corrp_n,corrp_tpw,corrp_meanR,corrp_se,corrp_t,corrp_WR,corrp_wkR,corrp_green,corrp_worst,mix_stop,mix_target,mix_eod,gate_n,gate_tpw,gate_meanR,gate_se,gate_t,gate_WR,gate_wkR,gate_green,gate_worst,gatep_n,gatep_tpw,gatep_meanR,gatep_se,gatep_t,gatep_WR,gatep_wkR,gatep_green,gatep_worst
"F1 {""P"": 0.05}",hold,TRAIN,2649,50.0,-0.076,0.0669,-1.13,16.3,-3.79,0.38,-41.2,2649,50.0,-0.851,0.0682,-12.48,15.4,-42.55,0.08,-84.2,2649,50.0,-0.205,0.0671,-3.05,16.3,-10.25,0.23,-49.2,2649,50.0,-0.205,0.0671,-3.05,16.3,-10.25,0.23,-49.2,0.823,0.0,0.177,1087,20.5,-0.054,0.1131,-0.48,20.4,-1.11,0.36,-34.0,1087,20.5,-0.054,0.1131,-0.48,20.4,-1.11,0.36,-34.0
"F1 {""P"": 0.05}",hold,VAL,1074,48.8,-0.005,0.0902,-0.05,19.5,-0.23,0.36,-40.6,1074,48.8,-0.711,0.0929,-7.65,18.2,-34.72,0.09,-86.6,1074,48.8,-0.145,0.0908,-1.59,19.3,-7.06,0.27,-49.0,1074,48.8,-0.145,0.0908,-1.59,19.3,-7.06,0.27,-49.0,0.791,0.0,0.209,518,23.5,-0.136,0.1008,-1.35,23.4,-3.21,0.36,-23.9,518,23.5,-0.136,0.1008,-1.35,23.4,-3.21,0.36,-23.9
"F1 {""P"": 0.05}",hold,TEST,727,51.9,-0.204,0.0958,-2.13,18.7,-10.57,0.36,-42.8,727,51.9,-0.947,0.0999,-9.48,17.3,-49.17,0.0,-73.6,727,51.9,-0.34,0.0964,-3.53,18.6,-17.67,0.21,-49.4,727,51.9,-0.34,0.0964,-3.53,18.6,-17.67,0.21,-49.4,0.802,0.0,0.198,373,26.6,-0.243,0.1453,-1.67,20.6,-6.47,0.29,-24.8,373,26.6,-0.243,0.1453,-1.67,20.6,-6.47,0.29,-24.8
"F1 {""P"": 0.05}",2r,TRAIN,2944,55.5,-0.161,0.0269,-5.97,31.5,-8.92,0.21,-32.4,2944,55.5,-0.846,0.0308,-27.45,31.2,-46.99,0.0,-79.1,2944,55.5,-0.301,0.027,-11.15,31.5,-16.7,0.06,-40.2,2944,55.5,-0.267,0.0279,-9.6,31.5,-14.85,0.11,-39.0,0.679,0.302,0.019,1123,21.2,-0.181,0.0428,-4.23,33.0,-3.84,0.34,-24.5,1123,21.2,-0.166,0.0434,-3.83,33.0,-3.52,0.36,-24.4
"F1 {""P"": 0.05}",2r,VAL,1221,55.5,-0.179,0.0416,-4.31,31.0,-9.95,0.23,-32.8,1221,55.5,-0.823,0.0477,-17.27,30.5,-45.69,0.0,-70.0,1221,55.5,-0.333,0.0417,-7.99,30.8,-18.46,0.0,-43.0,1221,55.5,-0.297,0.0432,-6.87,30.8,-16.46,0.09,-41.5,0.685,0.298,0.017,538,24.5,-0.29,0.0591,-4.91,29.9,-7.1,0.09,-20.0,538,24.5,-0.277,0.06,-4.62,29.9,-6.78,0.09,-19.7
"F1 {""P"": 0.05}",2r,TEST,812,58.0,-0.118,0.0523,-2.26,33.7,-6.85,0.21,-29.3,812,58.0,-0.761,0.0601,-12.66,32.9,-44.13,0.0,-68.6,812,58.0,-0.27,0.0523,-5.16,33.7,-15.66,0.0,-36.1,812,58.0,-0.231,0.0542,-4.27,33.7,-13.42,0.07,-35.4,0.661,0.315,0.023,397,28.4,-0.161,0.0719,-2.24,34.5,-4.57,0.36,-23.6,397,28.4,-0.147,0.0729,-2.01,34.5,-4.16,0.36,-23.6
"F1 {""P"": 0.08}",hold,TRAIN,2014,38.0,0.039,0.0923,0.43,17.2,1.5,0.53,-43.2,2014,38.0,-0.637,0.0935,-6.81,16.4,-24.2,0.19,-79.2,2014,38.0,-0.063,0.0926,-0.68,17.1,-2.39,0.45,-48.6,2014,38.0,-0.063,0.0926,-0.68,17.1,-2.39,0.45,-48.6,0.815,0.0,0.185,908,17.1,-0.004,0.1228,-0.03,20.5,-0.07,0.4,-21.1,908,17.1,-0.004,0.1228,-0.03,20.5,-0.07,0.4,-21.1
"F1 {""P"": 0.08}",hold,VAL,896,40.7,-0.096,0.0949,-1.01,18.0,-3.9,0.36,-48.4,896,40.7,-0.718,0.0975,-7.37,17.4,-29.26,0.14,-78.8,896,40.7,-0.204,0.0954,-2.14,17.9,-8.31,0.32,-53.5,896,40.7,-0.204,0.0954,-2.14,17.9,-8.31,0.32,-53.5,0.809,0.0,0.191,402,18.3,-0.253,0.114,-2.22,18.9,-4.63,0.09,-19.4,402,18.3,-0.253,0.114,-2.22,18.9,-4.63,0.09,-19.4
"F1 {""P"": 0.08}",hold,TEST,599,42.8,-0.239,0.1223,-1.96,16.9,-10.23,0.36,-64.4,599,42.8,-0.899,0.1258,-7.14,16.0,-38.44,0.07,-89.7,599,42.8,-0.345,0.1229,-2.81,16.7,-14.77,0.21,-68.9,599,42.8,-0.345,0.1229,-2.81,16.7,-14.77,0.21,-68.9,0.818,0.0,0.182,290,20.7,-0.261,0.144,-1.82,18.6,-5.42,0.21,-21.1,290,20.7,-0.261,0.144,-1.82,18.6,-5.42,0.21,-21.1
"F1 {""P"": 0.08}",2r,TRAIN,2178,41.1,-0.163,0.0319,-5.11,32.1,-6.69,0.25,-31.8,2178,41.1,-0.765,0.036,-21.27,31.8,-31.45,0.0,-61.8,2178,41.1,-0.272,0.032,-8.5,32.1,-11.16,0.11,-35.5,2178,41.1,-0.246,0.0328,-7.5,32.1,-10.1,0.13,-35.2,0.671,0.305,0.024,919,17.3,-0.169,0.048,-3.52,33.5,-2.93,0.36,-19.9,919,17.3,-0.154,0.0487,-3.17,33.5,-2.68,0.36,-19.7
"F1 {""P"": 0.08}",2r,VAL,984,44.7,-0.172,0.0466,-3.68,31.2,-7.67,0.32,-29.8,984,44.7,-0.73,0.0525,-13.9,30.9,-32.67,0.0,-59.2,984,44.7,-0.288,0.0466,-6.17,31.2,-12.87,0.18,-34.0,984,44.7,-0.26,0.0479,-5.42,31.2,-11.61,0.18,-33.6,0.681,0.3,0.019,409,18.6,-0.319,0.0667,-4.77,28.1,-5.92,0.14,-14.3,409,18.6,-0.306,0.0677,-4.52,28.1,-5.7,0.14,-14.2
"F1 {""P"": 0.08}",2r,TEST,661,47.2,-0.122,0.059,-2.07,33.7,-5.78,0.29,-25.6,661,47.2,-0.705,0.0662,-10.65,33.1,-33.3,0.0,-55.7,661,47.2,-0.236,0.0591,-4.0,33.6,-11.16,0.21,-31.4,661,47.2,-0.207,0.0607,-3.41,33.6,-9.77,0.29,-30.6,0.657,0.324,0.02,296,21.1,-0.125,0.0862,-1.45,34.5,-2.64,0.21,-14.5,296,21.1,-0.11,0.0874,-1.26,34.5,-2.33,0.29,-14.2
"F1 {""P"": 0.12}",hold,TRAIN,833,15.7,0.344,0.1697,2.03,18.7,5.41,0.51,-20.8,833,15.7,-0.205,0.1715,-1.2,18.1,-3.23,0.38,-34.2,833,15.7,0.266,0.17,1.56,18.7,4.18,0.43,-22.9,833,15.7,0.266,0.17,1.56,18.7,4.18,0.43,-22.9,0.797,0.0,0.203,509,9.6,0.426,0.2107,2.02,23.0,4.09,0.53,-15.1,509,9.6,0.426,0.2107,2.02,23.0,4.09,0.53,-15.1
"F1 {""P"": 0.12}",hold,VAL,390,17.7,-0.192,0.1414,-1.36,15.6,-3.4,0.36,-22.7,390,17.7,-0.71,0.144,-4.93,14.9,-12.58,0.14,-34.7,390,17.7,-0.279,0.142,-1.96,15.4,-4.94,0.32,-24.7,390,17.7,-0.279,0.142,-1.96,15.4,-4.94,0.32,-24.7,0.838,0.0,0.162,207,9.4,-0.255,0.1698,-1.5,17.4,-2.4,0.18,-13.3,207,9.4,-0.255,0.1698,-1.5,17.4,-2.4,0.18,-13.3
"F1 {""P"": 0.12}",hold,TEST,287,20.5,-0.374,0.1452,-2.58,13.2,-7.67,0.14,-22.1,287,20.5,-0.942,0.1508,-6.24,13.2,-19.3,0.07,-34.3,287,20.5,-0.457,0.1459,-3.13,13.2,-9.36,0.14,-23.2,287,20.5,-0.457,0.1459,-3.13,13.2,-9.36,0.14,-23.2,0.85,0.0,0.15,169,12.1,-0.34,0.1908,-1.78,14.2,-4.1,0.14,-14.7,169,12.1,-0.34,0.1908,-1.78,14.2,-4.1,0.14,-14.7
"F1 {""P"": 0.12}",2r,TRAIN,847,16.0,-0.127,0.0515,-2.47,33.1,-2.03,0.28,-13.2,847,16.0,-0.612,0.057,-10.75,32.6,-9.79,0.06,-21.7,847,16.0,-0.21,0.0517,-4.07,33.1,-3.36,0.21,-14.1,847,16.0,-0.19,0.0526,-3.61,33.1,-3.04,0.23,-14.0,0.656,0.313,0.031,510,9.6,-0.09,0.0652,-1.38,35.5,-0.87,0.45,-12.3,510,9.6,-0.076,0.0661,-1.15,35.5,-0.73,0.49,-12.3
"F1 {""P"": 0.12}",2r,VAL,398,18.1,-0.193,0.0729,-2.65,30.7,-3.49,0.27,-14.2,398,18.1,-0.656,0.0805,-8.14,30.2,-11.86,0.09,-25.7,398,18.1,-0.284,0.073,-3.9,30.4,-5.15,0.23,-16.3,398,18.1,-0.263,0.0746,-3.53,30.4,-4.76,0.27,-15.9,0.688,0.291,0.02,209,9.5,-0.245,0.0964,-2.54,29.7,-2.32,0.36,-10.2,209,9.5,-0.233,0.0977,-2.38,29.7,-2.21,0.36,-10.2
"F1 {""P"": 0.12}",2r,TEST,300,21.4,-0.18,0.0851,-2.11,31.0,-3.86,0.29,-15.0,300,21.4,-0.679,0.0957,-7.09,31.0,-14.54,0.07,-28.8,300,21.4,-0.266,0.0851,-3.12,31.0,-5.69,0.14,-17.3,300,21.4,-0.244,0.0869,-2.81,31.0,-5.23,0.14,-16.9,0.677,0.3,0.023,170,12.1,-0.246,0.1105,-2.23,30.0,-2.99,0.29,-12.3,170,12.1,-0.235,0.1119,-2.1,30.0,-2.85,0.29,-12.2
"F2 {""P"": 0.05}",hold,TRAIN,2601,49.1,0.112,0.0986,1.13,16.1,5.49,0.49,-50.5,2601,49.1,-0.724,0.1002,-7.23,15.1,-35.54,0.08,-95.7,2601,49.1,-0.029,0.0989,-0.29,16.1,-1.43,0.38,-60.0,2601,49.1,-0.029,0.0989,-0.29,16.1,-1.43,0.38,-60.0,0.83,0.0,0.17,557,10.5,0.248,0.3137,0.79,19.7,2.6,0.38,-19.3,557,10.5,0.248,0.3137,0.79,19.7,2.6,0.38,-19.3
"F2 {""P"": 0.05}",hold,VAL,1093,49.7,0.076,0.1099,0.69,18.0,3.79,0.45,-39.5,1093,49.7,-0.69,0.1124,-6.14,16.9,-34.29,0.23,-85.0,1093,49.7,-0.079,0.1105,-0.72,17.8,-3.93,0.41,-49.5,1093,49.7,-0.079,0.1105,-0.72,17.8,-3.93,0.41,-49.5,0.809,0.0,0.191,262,11.9,0.28,0.2801,1.0,23.7,3.33,0.45,-16.7,262,11.9,0.28,0.2801,1.0,23.7,3.33,0.45,-16.7
"F2 {""P"": 0.05}",hold,TEST,676,48.3,-0.072,0.1175,-0.61,17.5,-3.47,0.57,-34.9,676,48.3,-0.877,0.122,-7.19,16.7,-42.36,0.0,-92.9,676,48.3,-0.225,0.1183,-1.9,17.3,-10.86,0.43,-43.5,676,48.3,-0.225,0.1183,-1.9,17.3,-10.86,0.43,-43.5,0.82,0.0,0.18,165,11.8,-0.104,0.2297,-0.45,20.0,-1.23,0.29,-21.0,165,11.8,-0.104,0.2297,-0.45,20.0,-1.23,0.29,-21.0
"F2 {""P"": 0.05}",2r,TRAIN,2823,53.3,-0.159,0.0281,-5.66,32.0,-8.47,0.17,-40.4,2823,53.3,-0.903,0.0325,-27.78,31.8,-48.07,0.0,-83.8,2823,53.3,-0.313,0.0282,-11.12,32.0,-16.67,0.11,-49.3,2823,53.3,-0.275,0.0292,-9.44,32.0,-14.67,0.13,-48.3,0.677,0.313,0.01,565,10.7,-0.257,0.0616,-4.18,31.7,-2.74,0.36,-18.8,565,10.7,-0.243,0.0625,-3.89,31.7,-2.59,0.36,-18.5
"F2 {""P"": 0.05}",2r,VAL,1197,54.4,-0.217,0.0426,-5.08,30.4,-11.78,0.14,-30.2,1197,54.4,-0.913,0.0491,-18.62,30.1,-49.68,0.0,-74.2,1197,54.4,-0.386,0.0426,-9.06,30.4,-21.02,0.0,-41.1,1197,54.4,-0.346,0.0444,-7.8,30.4,-18.83,0.05,-39.4,0.693,0.297,0.01,262,11.9,-0.241,0.0887,-2.72,32.1,-2.87,0.32,-14.1,262,11.9,-0.227,0.09,-2.52,32.1,-2.71,0.32,-13.9
"F2 {""P"": 0.05}",2r,TEST,779,55.6,-0.092,0.0554,-1.66,34.7,-5.12,0.36,-43.8,779,55.6,-0.806,0.0639,-12.62,34.5,-44.88,0.0,-98.8,779,55.6,-0.26,0.0555,-4.69,34.7,-14.48,0.21,-52.5,779,55.6,-0.215,0.0576,-3.74,34.7,-11.98,0.21,-51.7,0.65,0.341,0.009,166,11.9,-0.187,0.1127,-1.66,33.1,-2.21,0.29,-16.3,166,11.9,-0.172,0.1144,-1.5,33.1,-2.03,0.29,-16.2
"F2 {""P"": 0.08}",hold,TRAIN,1861,35.1,0.095,0.1284,0.74,14.1,3.35,0.43,-40.1,1861,35.1,-0.668,0.1301,-5.14,13.6,-23.45,0.28,-74.4,1861,35.1,-0.025,0.1287,-0.19,14.0,-0.86,0.36,-44.7,1861,35.1,-0.025,0.1287,-0.19,14.0,-0.86,0.36,-44.7,0.85,0.0,0.15,495,9.3,0.334,0.3516,0.95,17.6,3.12,0.38,-15.6,495,9.3,0.334,0.3516,0.95,17.6,3.12,0.38,-15.6
"F2 {""P"": 0.08}",hold,VAL,827,37.6,0.178,0.1437,1.24,16.6,6.7,0.5,-47.6,827,37.6,-0.541,0.1463,-3.7,15.8,-20.33,0.32,-78.0,827,37.6,0.048,0.1444,0.33,16.3,1.8,0.41,-53.8,827,37.6,0.048,0.1444,0.33,16.3,1.8,0.41,-53.8,0.826,0.0,0.174,201,9.1,0.241,0.3445,0.7,20.4,2.2,0.36,-13.0,201,9.1,0.241,0.3445,0.7,20.4,2.2,0.36,-13.0
"F2 {""P"": 0.08}",hold,TEST,559,39.9,0.087,0.1934,0.45,15.4,3.47,0.36,-31.5,559,39.9,-0.686,0.1961,-3.5,15.0,-27.39,0.14,-64.3,559,39.9,-0.042,0.194,-0.21,15.2,-1.66,0.29,-36.3,559,39.9,-0.042,0.194,-0.21,15.2,-1.66,0.29,-36.3,0.837,0.0,0.163,137,9.8,0.156,0.3016,0.52,20.4,1.52,0.43,-18.4,137,9.8,0.156,0.3016,0.52,20.4,1.52,0.43,-18.4
"F2 {""P"": 0.08}",2r,TRAIN,1948,36.8,-0.162,0.0354,-4.56,32.9,-5.94,0.34,-29.2,1948,36.8,-0.832,0.0404,-20.59,32.8,-30.58,0.0,-68.1,1948,36.8,-0.289,0.0354,-8.16,32.9,-10.62,0.13,-35.3,1948,36.8,-0.256,0.0365,-7.02,32.9,-9.41,0.17,-34.0,0.667,0.325,0.008,503,9.5,-0.16,0.0672,-2.38,33.6,-1.51,0.42,-11.1,503,9.5,-0.144,0.0681,-2.11,33.6,-1.37,0.42,-11.0
"F2 {""P"": 0.08}",2r,VAL,897,40.8,-0.198,0.0497,-3.99,31.1,-8.09,0.27,-25.7,897,40.8,-0.844,0.057,-14.82,30.7,-34.43,0.0,-59.9,897,40.8,-0.338,0.0498,-6.78,31.0,-13.77,0.09,-31.9,897,40.8,-0.305,0.0514,-5.92,31.0,-12.42,0.09,-30.9,0.687,0.304,0.009,201,9.1,-0.208,0.1042,-1.99,32.8,-1.9,0.5,-11.1,201,9.1,-0.193,0.1057,-1.83,32.8,-1.76,0.5,-11.1
"F2 {""P"": 0.08}",2r,TEST,617,44.1,-0.232,0.0619,-3.75,31.1,-10.22,0.21,-22.6,617,44.1,-0.923,0.0705,-13.1,31.0,-40.66,0.0,-67.6,617,44.1,-0.369,0.0619,-5.96,31.1,-16.26,0.0,-30.2,617,44.1,-0.336,0.0638,-5.26,31.1,-14.8,0.07,-28.4,0.684,0.306,0.01,137,9.8,-0.225,0.1299,-1.73,32.8,-2.2,0.36,-10.6,137,9.8,-0.21,0.1317,-1.6,32.8,-2.06,0.43,-10.4
"F2 {""P"": 0.12}",hold,TRAIN,834,15.7,0.524,0.2981,1.76,14.5,8.25,0.49,-20.4,834,15.7,-0.162,0.3001,-0.54,14.1,-2.55,0.3,-37.3,834,15.7,0.427,0.2984,1.43,14.4,6.72,0.47,-23.6,834,15.7,0.427,0.2984,1.43,14.4,6.72,0.47,-23.6,0.845,0.0,0.155,363,6.8,0.656,0.4883,1.34,17.6,4.49,0.38,-13.5,363,6.8,0.656,0.4883,1.34,17.6,4.49,0.38,-13.5
"F2 {""P"": 0.12}",hold,VAL,376,17.1,0.131,0.2477,0.53,12.8,2.23,0.5,-24.1,376,17.1,-0.496,0.2514,-1.97,12.8,-8.48,0.23,-37.9,376,17.1,0.024,0.2484,0.1,12.8,0.42,0.41,-26.6,376,17.1,0.024,0.2484,0.1,12.8,0.42,0.41,-26.6,0.867,0.0,0.133,141,6.4,0.453,0.4915,0.92,17.0,2.9,0.27,-7.8,141,6.4,0.453,0.4915,0.92,17.0,2.9,0.27,-7.8
"F2 {""P"": 0.12}",hold,TEST,270,19.3,-0.32,0.1956,-1.63,13.0,-6.16,0.21,-26.2,270,19.3,-1.014,0.2,-5.07,13.0,-19.55,0.07,-41.6,270,19.3,-0.423,0.1962,-2.15,13.0,-8.15,0.21,-28.2,270,19.3,-0.423,0.1962,-2.15,13.0,-8.15,0.21,-28.2,0.856,0.0,0.144,104,7.4,-0.536,0.2096,-2.56,12.5,-3.98,0.21,-15.9,104,7.4,-0.536,0.2096,-2.56,12.5,-3.98,0.21,-15.9
"F2 {""P"": 0.12}",2r,TRAIN,847,16.0,-0.167,0.0565,-2.96,34.1,-2.67,0.3,-13.4,847,16.0,-0.763,0.0638,-11.95,34.0,-12.19,0.04,-27.0,847,16.0,-0.27,0.0567,-4.76,34.1,-4.31,0.3,-15.2,847,16.0,-0.243,0.0579,-4.2,34.1,-3.89,0.3,-14.9,0.652,0.335,0.013,366,6.9,-0.048,0.0813,-0.59,37.2,-0.33,0.45,-8.3,366,6.9,-0.032,0.0824,-0.39,37.2,-0.22,0.45,-8.2
"F2 {""P"": 0.12}",2r,VAL,380,17.3,-0.237,0.077,-3.07,30.0,-4.09,0.23,-13.9,380,17.3,-0.8,0.0875,-9.14,30.0,-13.82,0.05,-26.0,380,17.3,-0.348,0.0774,-4.49,30.0,-6.01,0.14,-16.3,380,17.3,-0.324,0.0792,-4.09,30.0,-5.6,0.14,-16.2,0.697,0.295,0.008,141,6.4,-0.142,0.1232,-1.15,33.3,-0.91,0.27,-7.8,141,6.4,-0.128,0.1249,-1.02,33.3,-0.82,0.27,-7.8
"F2 {""P"": 0.12}",2r,TEST,276,19.7,-0.284,0.0942,-3.01,30.4,-5.59,0.14,-13.4,276,19.7,-0.896,0.1053,-8.51,30.4,-17.67,0.07,-31.4,276,19.7,-0.394,0.0938,-4.2,30.4,-7.76,0.14,-16.5,276,19.7,-0.365,0.0964,-3.78,30.4,-7.19,0.14,-15.8,0.688,0.297,0.014,104,7.4,-0.513,0.1345,-3.81,23.1,-3.81,0.21,-12.8,104,7.4,-0.503,0.1362,-3.69,23.1,-3.74,0.21,-12.8
"F3 {""M"": 15, ""P"": 0.05}",hold,TRAIN,1794,33.8,0.066,0.0943,0.7,17.1,2.22,0.47,-39.9,1794,33.8,-0.655,0.0958,-6.83,16.1,-22.16,0.15,-65.7,1794,33.8,-0.07,0.0946,-0.74,16.9,-2.36,0.38,-45.3,1794,33.8,-0.07,0.0946,-0.74,16.9,-2.36,0.38,-45.3,0.82,0.0,0.18,519,9.8,-0.219,0.1409,-1.55,18.9,-2.14,0.26,-13.1,519,9.8,-0.219,0.1409,-1.55,18.9,-2.14,0.26,-13.1
"F3 {""M"": 15, ""P"": 0.05}",hold,VAL,778,35.4,0.066,0.1097,0.6,19.9,2.34,0.5,-31.0,778,35.4,-0.594,0.1125,-5.28,18.9,-20.99,0.23,-66.3,778,35.4,-0.076,0.1103,-0.69,19.8,-2.7,0.36,-37.0,778,35.4,-0.076,0.1103,-0.69,19.8,-2.7,0.36,-37.0,0.788,0.0,0.212,222,10.1,0.258,0.6393,0.4,16.7,2.61,0.32,-14.9,222,10.1,0.258,0.6393,0.4,16.7,2.61,0.32,-14.9
"F3 {""M"": 15, ""P"": 0.05}",hold,TEST,511,36.5,0.045,0.1529,0.29,19.4,1.63,0.36,-24.2,511,36.5,-0.655,0.1568,-4.18,17.8,-23.92,0.07,-51.3,511,36.5,-0.094,0.1538,-0.61,19.2,-3.44,0.36,-29.5,511,36.5,-0.094,0.1538,-0.61,19.2,-3.44,0.36,-29.5,0.8,0.0,0.2,186,13.3,0.026,0.2812,0.09,19.9,0.34,0.21,-12.8,186,13.3,0.026,0.2812,0.09,19.9,0.34,0.21,-12.8
"F3 {""M"": 15, ""P"": 0.05}",2r,TRAIN,2110,39.8,-0.164,0.032,-5.13,31.7,-6.52,0.25,-37.4,2110,39.8,-0.807,0.0364,-22.19,31.2,-32.13,0.0,-75.1,2110,39.8,-0.311,0.032,-9.7,31.6,-12.37,0.15,-44.6,2110,39.8,-0.275,0.0331,-8.31,31.6,-10.96,0.19,-43.9,0.68,0.303,0.017,522,9.8,-0.207,0.0601,-3.45,31.4,-2.04,0.3,-13.5,522,9.8,-0.194,0.061,-3.19,31.4,-1.91,0.3,-13.4
"F3 {""M"": 15, ""P"": 0.05}",2r,VAL,953,43.3,-0.117,0.048,-2.43,33.1,-5.05,0.32,-24.1,953,43.3,-0.709,0.0543,-13.06,32.6,-30.72,0.0,-56.2,953,43.3,-0.275,0.048,-5.73,33.1,-11.91,0.14,-31.9,953,43.3,-0.235,0.0499,-4.71,33.1,-10.18,0.18,-30.6,0.664,0.315,0.021,222,10.1,-0.292,0.0907,-3.22,29.3,-2.95,0.27,-14.8,222,10.1,-0.28,0.092,-3.05,29.3,-2.83,0.27,-14.8
"F3 {""M"": 15, ""P"": 0.05}",2r,TEST,648,46.3,-0.088,0.0591,-1.5,34.6,-4.09,0.43,-18.9,648,46.3,-0.716,0.0669,-10.71,33.8,-33.15,0.0,-50.0,648,46.3,-0.244,0.0592,-4.12,34.6,-11.29,0.21,-27.3,648,46.3,-0.204,0.0613,-3.33,34.6,-9.45,0.21,-25.7,0.651,0.324,0.025,187,13.4,-0.101,0.1054,-0.96,35.3,-1.35,0.29,-9.3,187,13.4,-0.086,0.1069,-0.81,35.3,-1.15,0.29,-9.2
"F3 {""M"": 15, ""P"": 0.1}",hold,TRAIN,854,16.1,-0.038,0.1419,-0.27,13.8,-0.61,0.38,-26.0,854,16.1,-0.694,0.1439,-4.82,13.5,-11.19,0.23,-42.4,854,16.1,-0.153,0.1423,-1.08,13.7,-2.47,0.38,-29.4,854,16.1,-0.153,0.1423,-1.08,13.7,-2.47,0.38,-29.4,0.852,0.0,0.148,271,5.1,-0.11,0.2689,-0.41,14.8,-0.56,0.23,-9.1,271,5.1,-0.11,0.2689,-0.41,14.8,-0.56,0.23,-9.1
"F3 {""M"": 15, ""P"": 0.1}",hold,VAL,453,20.6,-0.459,0.1143,-4.02,12.4,-9.46,0.18,-29.3,453,20.6,-1.066,0.1178,-9.05,11.5,-21.95,0.05,-47.2,453,20.6,-0.589,0.1151,-5.12,12.4,-12.14,0.05,-32.3,453,20.6,-0.589,0.1151,-5.12,12.4,-12.14,0.05,-32.3,0.868,0.0,0.132,114,5.2,-0.366,0.2676,-1.37,14.9,-1.89,0.32,-10.2,114,5.2,-0.366,0.2676,-1.37,14.9,-1.89,0.32,-10.2
"F3 {""M"": 15, ""P"": 0.1}",hold,TEST,293,20.9,0.551,0.2996,1.84,17.1,11.53,0.64,-13.7,293,20.9,-0.085,0.3023,-0.28,17.1,-1.78,0.36,-26.8,293,20.9,0.428,0.3005,1.42,17.1,8.96,0.57,-16.4,293,20.9,0.428,0.3005,1.42,17.1,8.96,0.57,-16.4,0.829,0.0,0.171,92,6.6,0.164,0.5006,0.33,17.4,1.08,0.29,-10.0,92,6.6,0.164,0.5006,0.33,17.4,1.08,0.29,-10.0
"F3 {""M"": 15, ""P"": 0.1}",2r,TRAIN,890,16.8,-0.156,0.0496,-3.15,31.8,-2.62,0.32,-19.6,890,16.8,-0.731,0.0558,-13.09,31.5,-12.27,0.02,-37.0,890,16.8,-0.279,0.0496,-5.62,31.7,-4.68,0.19,-23.0,890,16.8,-0.248,0.0511,-4.86,31.7,-4.17,0.25,-22.5,0.68,0.306,0.015,271,5.1,-0.275,0.0831,-3.31,28.8,-1.4,0.32,-8.8,271,5.1,-0.263,0.0843,-3.12,28.8,-1.34,0.34,-8.8
"F3 {""M"": 15, ""P"": 0.1}",2r,VAL,469,21.3,-0.291,0.0666,-4.36,27.9,-6.2,0.23,-30.3,469,21.3,-0.838,0.0749,-11.18,27.7,-17.86,0.05,-48.1,469,21.3,-0.427,0.067,-6.38,27.9,-9.11,0.18,-35.4,469,21.3,-0.399,0.069,-5.79,27.9,-8.51,0.18,-34.6,0.716,0.271,0.013,114,5.2,-0.339,0.1266,-2.68,27.2,-1.76,0.14,-7.2,114,5.2,-0.327,0.1284,-2.55,27.2,-1.7,0.14,-7.1
"F3 {""M"": 15, ""P"": 0.1}",2r,TEST,327,23.4,-0.106,0.0864,-1.23,33.9,-2.48,0.43,-16.9,327,23.4,-0.66,0.0959,-6.88,33.9,-15.42,0.07,-30.4,327,23.4,-0.242,0.0864,-2.8,33.9,-5.65,0.21,-20.1,327,23.4,-0.205,0.0891,-2.31,33.9,-4.8,0.21,-19.7,0.661,0.333,0.006,92,6.6,-0.185,0.1491,-1.24,31.5,-1.22,0.43,-4.9,92,6.6,-0.173,0.1509,-1.15,31.5,-1.14,0.43,-4.9
"F3 {""M"": 30, ""P"": 0.05}",hold,TRAIN,2033,38.4,0.028,0.0859,0.32,16.6,1.06,0.47,-47.4,2033,38.4,-0.71,0.0874,-8.12,15.6,-27.24,0.13,-78.8,2033,38.4,-0.109,0.0862,-1.26,16.5,-4.18,0.38,-53.6,2033,38.4,-0.109,0.0862,-1.26,16.5,-4.18,0.38,-53.6,0.824,0.0,0.176,603,11.4,-0.326,0.1007,-3.24,18.6,-3.71,0.26,-15.9,603,11.4,-0.326,0.1007,-3.24,18.6,-3.71,0.26,-15.9
"F3 {""M"": 30, ""P"": 0.05}",hold,VAL,876,39.8,0.022,0.0989,0.22,19.6,0.86,0.45,-33.5,876,39.8,-0.66,0.1021,-6.46,18.6,-26.26,0.18,-76.3,876,39.8,-0.121,0.0995,-1.22,19.5,-4.83,0.36,-40.6,876,39.8,-0.121,0.0995,-1.22,19.5,-4.83,0.36,-40.6,0.787,0.0,0.213,245,11.1,0.229,0.5804,0.39,18.4,2.55,0.32,-14.2,245,11.1,0.229,0.5804,0.39,18.4,2.55,0.32,-14.2
