symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry
AEVA,2025-01-02,09:50:00,5.08,4.80,5.55,1473,13:04:00,4.79,stop,-426.65,-5.71,175,0.2752,0.4750,2.50,405.44,4.07,20.97,4,4870,1230,0.1898,4.81,4.99,5.05,5.09,5.03,5.03,3183,4.86,5.31,4.62,5.01,800212,14.94,1329128,0.60,,30403104,80,1,5.51,,False,0.01,2,4.07,7.08,1.40,1.00,0.00,-0.30,0.30,0.00,0.20,1.400,1.168,0.20,0.00,9.09
KORE,2025-01-02,10:38:00,3.22,3.11,3.44,7110,10:39:00,3.10,stop,-820.00,-3.59,3,0.1060,0.2250,2.50,753.66,6.64,39.76,2,1970,210,0.1992,3.12,3.20,3.20,3.20,3.20,3.20,115,3.41,3.45,2.60,2.69,487416,32.69,77130,6.32,,7620947,128,5,-3.07,,False,0.01,3,6.64,-2.59,1.60,2.00,0.30,0.00,0.30,0.00,0.00,1.600,1.168,0.00,0.00,15.00
MGX,2025-01-02,09:57:00,3.87,3.80,4.00,5714,10:28:00,3.97,trail_stop,554.63,2.51,32,0.0717,0.1312,2.50,409.98,3.08,36.96,5,4991,2793,0.1150,3.81,3.85,3.85,3.85,3.84,3.85,1567,3.65,4.05,3.62,3.79,1028046,12.02,228967,4.49,,27320029,87,4,2.44,,False,0.01,3,3.08,2.91,1.50,1.00,0.00,0.00,0.30,0.00,0.00,1.500,1.168,0.20,0.00,5.48
POLA,2025-01-02,10:01:00,3.34,3.22,3.59,3400,15:52:00,3.60,force_close,878.13,7.73,113,0.1217,0.2500,2.50,413.87,6.31,-15.79,4,1340,1101,0.1900,3.23,3.32,3.33,3.33,3.33,3.33,512,3.18,3.66,3.01,3.49,68786,21.59,267784,0.26,,1848604,91,2,2.92,-0.63,False,0.01,3,6.31,3.45,1.70,1.00,0.30,0.00,0.00,0.00,0.20,1.700,1.168,0.20,0.00,10.31
ATRA,2025-01-03,09:43:00,16.35,15.49,17.97,928,10:08:00,17.79,trail_stop,1334.53,8.79,28,0.8569,1.6140,2.50,795.25,6.08,30.00,3,2903,2041,0.9000,15.44,16.14,16.27,16.29,16.27,16.29,1744,14.49,18.70,14.49,16.35,453209,29.05,120498,3.76,,5333357,73,1,5.16,4.03,False,0.04,3,6.08,6.00,1.50,2.00,0.30,-0.30,0.00,0.30,0.00,1.500,1.383,0.20,0.00,13.98
SYNX,2025-01-03,09:42:00,4.64,4.44,5.10,478,09:50:00,4.78,trail_stop,66.27,2.99,9,0.2060,0.4572,2.50,98.46,10.84,34.44,3,1496,1062,0.4500,4.45,4.62,4.46,4.65,4.46,4.54,2526,4.17,6.49,4.15,4.98,768020,56.39,23924,32.10,,2907482,72,1,3.41,6.44,False,0.04,3,10.84,3.54,1.50,1.00,0.00,0.00,0.00,0.30,0.00,1.500,1.383,0.20,0.00,17.42
CETX,2025-01-06,10:39:00,3.59,3.49,3.79,10502,10:43:00,3.48,stop,-1130.19,-3.00,6,0.0971,0.1982,2.50,1020.23,7.46,40.00,3,20225,3583,0.2500,3.50,3.57,3.51,3.58,3.51,3.58,13772,3.24,3.70,3.10,3.15,809583,19.32,262569,3.08,,10581993,129,1,5.08,1.57,False,0.03,2,7.46,5.27,2.40,2.00,0.30,0.30,0.30,0.30,0.00,2.400,1.316,0.20,0.00,12.85
BAER,2025-01-10,09:21:00,3.55,3.44,3.77,5999,09:30:00,3.79,trail_stop,1459.51,6.86,13,0.1076,0.2250,2.50,645.79,5.76,21.05,4,23208,21067,0.1900,3.45,3.53,3.50,3.56,3.50,3.56,17627,3.82,4.43,2.91,3.28,51728045,52.41,988157,52.35,,36982650,51,1,0.75,31.54,True,-0.14,3,5.76,1.25,1.50,1.80,0.30,0.00,0.00,0.30,0.20,1.500,1.272,0.00,-0.30,32.97
FUBO,2025-01-10,10:30:00,5.53,5.44,5.68,12666,10:49:00,5.42,stop,-1314.98,-1.88,23,0.0875,0.1500,2.50,1108.27,5.11,37.04,2,583794,373296,0.2700,5.45,5.50,5.49,5.55,5.49,5.53,599483,5.70,5.99,4.99,5.11,100456121,20.04,253975244,0.40,,29138390,120,1,-0.42,6.54,False,-0.14,2,5.11,0.08,1.90,2.00,0.30,0.30,0.00,0.30,0.00,1.900,1.272,0.00,0.00,18.15
STFS,2025-01-10,09:44:00,11.86,11.37,12.95,781,09:48:00,11.33,stop,-412.44,-4.45,4,0.4940,1.0875,2.50,385.81,4.57,24.88,5,1694,1489,0.5025,11.38,11.80,11.70,11.83,11.70,11.75,737,10.34,12.81,10.34,12.29,244660,23.89,1481027,0.17,,310771,74,2,6.20,2.96,False,-0.14,2,4.57,6.65,1.70,1.00,0.30,-0.30,0.00,0.30,0.20,1.700,1.272,0.20,0.00,17.99
