,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
entered,1.0,-0.08,0.01,-0.06,-0.07,0.31,0.44,0.34,0.14,0.38,-0.01,-0.0,-0.02,0.02,0.02,-0.01,0.01,-0.02,-0.07,0.08,-0.09,-0.04,0.05,0.02
range_size_pct,-0.08,1.0,0.19,0.92,-0.22,0.09,0.06,0.16,0.04,0.01,0.11,0.32,-0.01,-0.0,0.33,0.09,0.09,0.32,-0.12,0.12,-0.18,-0.21,0.07,0.05
range_total_volume,0.01,0.19,1.0,0.24,-0.23,0.06,0.05,0.07,0.01,0.04,-0.01,0.05,0.04,0.57,0.06,-0.01,0.0,0.09,-0.06,0.05,-0.09,-0.09,0.02,0.03
range_avg_bar_range_pct,-0.06,0.92,0.24,1.0,-0.25,0.07,0.03,0.09,0.04,-0.03,0.1,0.37,0.02,0.03,0.37,0.07,0.1,0.38,-0.14,0.14,-0.19,-0.21,0.08,0.06
range_volume_stddev_pct,-0.07,-0.22,-0.23,-0.25,1.0,-0.16,-0.12,-0.14,-0.02,-0.1,-0.02,-0.12,0.03,-0.19,-0.2,-0.01,-0.04,-0.05,0.12,-0.12,0.17,0.09,-0.04,-0.04
bars_green_in_range,0.31,0.09,0.06,0.07,-0.16,1.0,0.67,0.63,0.43,0.57,-0.01,-0.04,-0.01,0.01,-0.02,-0.01,-0.01,-0.03,-0.04,0.04,-0.01,-0.06,0.01,0.01
range_close_position,0.44,0.06,0.05,0.03,-0.12,0.67,1.0,0.7,0.41,0.79,-0.02,-0.05,-0.01,-0.0,-0.04,-0.01,-0.01,-0.03,-0.03,0.05,-0.02,-0.09,0.02,0.01
range_return_pct,0.34,0.16,0.07,0.09,-0.14,0.63,0.7,1.0,0.21,0.82,-0.04,-0.07,-0.03,-0.02,-0.05,-0.03,-0.02,-0.04,-0.02,0.03,0.01,-0.06,-0.0,0.0
last_bar_green,0.14,0.04,0.01,0.04,-0.02,0.43,0.41,0.21,1.0,0.36,0.0,0.01,-0.01,-0.0,-0.01,-0.01,0.01,-0.0,0.03,0.01,-0.0,0.01,-0.01,-0.02
range_vwap_distance_pct,0.38,0.01,0.04,-0.03,-0.1,0.57,0.79,0.82,0.36,1.0,-0.03,-0.08,-0.02,-0.01,-0.07,-0.03,-0.03,-0.04,-0.0,0.04,0.0,-0.04,0.0,-0.01
gap_pct,-0.01,0.11,-0.01,0.1,-0.02,-0.01,-0.02,-0.04,0.0,-0.03,1.0,0.03,-0.02,0.33,0.13,0.85,0.0,-0.02,-0.02,0.01,-0.03,-0.02,-0.01,0.03
prev_day_range_pct,-0.0,0.32,0.05,0.37,-0.12,-0.04,-0.05,-0.07,0.01,-0.08,0.03,1.0,-0.12,0.04,0.43,0.01,0.11,0.42,-0.01,0.02,-0.06,0.03,0.02,-0.01
prev_day_close_position,-0.02,-0.01,0.04,0.02,0.03,-0.01,-0.01,-0.03,-0.01,-0.02,-0.02,-0.12,1.0,-0.02,-0.09,-0.0,-0.02,0.04,-0.05,0.02,0.01,0.01,-0.05,-0.05
avg_daily_volume_20d,0.02,-0.0,0.57,0.03,-0.19,0.01,-0.0,-0.02,-0.0,-0.01,0.33,0.04,-0.02,1.0,0.21,0.28,0.22,-0.08,-0.05,0.02,-0.06,-0.02,0.01,0.02
avg_daily_range_pct_20d,0.02,0.33,0.06,0.37,-0.2,-0.02,-0.04,-0.05,-0.01,-0.07,0.13,0.43,-0.09,0.21,1.0,0.04,0.18,0.05,-0.18,0.14,-0.15,-0.11,0.02,0.09
price_vs_20d_high_pct,-0.01,0.09,-0.01,0.07,-0.01,-0.01,-0.01,-0.03,-0.01,-0.03,0.85,0.01,-0.0,0.28,0.04,1.0,-0.0,0.0,-0.01,0.01,-0.03,-0.03,0.0,0.01
return_volatility_20d,0.01,0.09,0.0,0.1,-0.04,-0.01,-0.01,-0.02,0.01,-0.03,0.0,0.11,-0.02,0.22,0.18,-0.0,1.0,0.01,-0.03,0.02,-0.03,-0.02,0.01,0.02
prev_day_volume_vs_20d,-0.02,0.32,0.09,0.38,-0.05,-0.03,-0.03,-0.04,-0.0,-0.04,-0.02,0.42,0.04,-0.08,0.05,0.0,0.01,1.0,-0.01,0.02,-0.07,-0.05,0.04,0.02
spy_range_pct_5min,-0.07,-0.12,-0.06,-0.14,0.12,-0.04,-0.03,-0.02,0.03,-0.0,-0.02,-0.01,-0.05,-0.05,-0.18,-0.01,-0.03,-0.01,1.0,-0.45,0.42,0.29,-0.2,-0.26
spy_return_5min_pct,0.08,0.12,0.05,0.14,-0.12,0.04,0.05,0.03,0.01,0.04,0.01,0.02,0.02,0.02,0.14,0.01,0.02,0.02,-0.45,1.0,-0.58,-0.25,0.19,0.12
spy_gap_pct,-0.09,-0.18,-0.09,-0.19,0.17,-0.01,-0.02,0.01,-0.0,0.0,-0.03,-0.06,0.01,-0.06,-0.15,-0.03,-0.03,-0.07,0.42,-0.58,1.0,0.42,-0.26,-0.1
spy_3d_range_pct,-0.04,-0.21,-0.09,-0.21,0.09,-0.06,-0.09,-0.06,0.01,-0.04,-0.02,0.03,0.01,-0.02,-0.11,-0.03,-0.02,-0.05,0.29,-0.25,0.42,1.0,-0.13,-0.28
day_of_week,0.05,0.07,0.02,0.08,-0.04,0.01,0.02,-0.0,-0.01,0.0,-0.01,0.02,-0.05,0.01,0.02,0.0,0.01,0.04,-0.2,0.19,-0.26,-0.13,1.0,0.03
days_since_month_start,0.02,0.05,0.03,0.06,-0.04,0.01,0.01,0.0,-0.02,-0.01,0.03,-0.01,-0.05,0.02,0.09,0.01,0.02,0.02,-0.26,0.12,-0.1,-0.28,0.03,1.0
