month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,6,2,2,33.33333333333333,7,598.5842379999996,-225.77214498390492,562.9752872560947,562.9752872560947,-225.77214498390492
2025-02,8,2,3,25.0,9,574.2659720639995,-162.07471014000012,500.1052734021306,1063.0805606582253,-162.07471014000012
2025-03,4,3,0,75.0,5,313.50533199999956,0.0,566.9022586399997,1629.982819298225,0.0
2025-04,3,2,0,66.66666666666666,3,375.52802851400077,0.0,554.7048425940005,2184.6876618922256,0.0
2025-05,4,2,2,50.0,6,1217.9375133208869,-126.62018529761879,1207.7267150763423,3392.414376968568,-85.8008332869257
2025-06,6,2,3,33.33333333333333,11,237.27505,-178.57577153571407,200.43696858469687,3592.8513455532648,-211.59164513571406
2025-07,6,2,2,33.33333333333333,6,94.27044295661335,-100.67605450178586,53.58388916149485,3646.4352347147596,-113.96857183511885
2025-08,3,1,1,33.33333333333333,3,157.91378444799992,-95.15629583035704,62.75748861764288,3709.1927233324027,-95.15629583035704
2025-09,9,2,6,22.22222222222222,16,868.0533074173463,-165.581070749333,425.59450980201746,4134.787233134421,-448.2771344959976
2025-10,6,2,2,33.33333333333333,10,1670.1664882056539,-87.06962159999998,2211.408130763654,6346.195363898074,-87.06962160000012
2025-11,7,2,4,28.57142857142857,14,503.5279780497327,-439.4597789599997,22.640944729924,6368.836308627998,-508.7698870546667
2025-12,9,3,4,33.33333333333333,15,550.5376784000009,-295.51462905333284,-55.10314930542518,6313.733159322573,-337.9086139999995
2026-01,8,2,5,25.0,12,1254.686943168,-262.9497943413572,601.2415187328373,6914.97467805541,-295.58222142714175
2026-02,9,3,3,33.33333333333333,13,740.9388459999999,-353.8355198091673,1204.6596548668333,8119.634332922243,-371.41086897583403
2026-03,8,5,2,62.5,9,1879.3010776666665,-123.51949999999957,4036.0437817481607,12155.678114670403,-158.4733174999992
2026-04,12,2,6,16.666666666666664,13,497.6661666399998,-117.71174701000037,208.21017235447786,12363.888287024882,-352.7612825428564
2026-05,5,1,3,20.0,6,346.28630834466713,-132.89920121988067,159.12033712478714,12523.008624149668,-136.40444855321357
2026-06,11,3,3,27.27272727272727,16,205.78993357466695,-239.3843178666665,74.1308697879999,12597.139493937668,-239.3843178666665
2026-07,12,5,6,41.66666666666667,20,898.9251851176674,-282.03891333333274,581.6369881371222,13178.77648207479,-515.4667187533305
2026-08,12,3,4,25.0,17,701.0759580729072,-125.45491199999977,643.5345019795748,13822.310984054366,-173.78349999999955
2026-09,4,0,3,0.0,4,0.0,-109.81904999999998,-150.55816599999923,13671.752818054367,-40.73911599999926
