symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry
CPIX,2025-02-05,09:39:00,4.44,4.24,4.88,20000,09:43:00,4.67,pp+trail_stop,2347.63,2.64,True,4.45,10000,68.19,67.45,1357654,5.40,6.12,False,-0.01,3,14.58,5.59,1.50,2.00,0.00,0.00,0.00,0.30,0.00,1.500,1.328,0.20,0.00,16.62,1.392,1.328,
JG,2025-02-10,09:37:00,12.86,12.49,13.61,15552,09:42:00,13.36,pp+trail_stop,9711.09,4.86,True,13.61,10000,7490.50,49.48,2271962,3.26,4.68,False,-0.06,3,10.67,3.61,1.70,2.00,0.00,0.30,0.00,0.00,0.20,1.700,0.983,0.20,0.00,15.83,0.727,0.983,
BFRG,2025-02-11,10:41:00,3.98,3.85,4.25,20000,10:49:00,3.84,stop,-2831.00,-3.56,False,,0,0.00,32.89,1386121,7.56,4.46,False,0.07,2,5.61,7.82,1.50,2.00,0.30,0.00,0.00,0.00,0.00,1.500,0.813,0.20,0.00,17.26,0.461,0.813,
RPID,2025-02-24,10:31:00,3.04,2.99,3.13,18000,10:48:00,3.04,pp+trail_stop,284.49,0.52,True,3.07,9000,276.84,20.41,583313,5.03,-1.56,False,0.02,2,7.36,5.54,3.00,1.80,0.30,0.30,0.30,0.00,0.20,3.300,1.059,0.20,0.00,20.41,2.142,1.059,
MSW,2025-02-27,09:47:00,5.09,4.80,5.59,16824,10:04:00,4.79,stop,-5121.23,-5.98,False,,0,0.00,24.41,420612,3.39,7.20,False,0.05,2,5.78,5.14,1.80,2.00,0.30,-0.30,0.30,0.30,0.00,1.800,1.271,0.20,0.00,17.78,0.147,1.271,
PCLA,2025-02-28,10:10:00,5.28,5.12,5.60,18000,10:16:00,5.1,stop,-3156.48,-3.32,False,,0,0.00,30.12,1782161,1.12,9.95,False,,2,5.00,1.62,1.90,1.80,0.30,0.00,0.30,0.30,0.00,1.900,1.668,0.00,0.00,41.89,0.393,1.668,
STAK,2025-02-28,10:16:00,3.52,3.41,3.62,18000,10:40:00,3.59,pp+trail_stop,393.16,0.62,True,3.49,9000,-274.50,44.6,869210,6.86,-0.83,False,,2,8.44,8.75,3.00,1.80,0.30,0.30,0.30,0.30,0.00,3.400,1.668,0.20,0.00,29.50,1.195,1.668,
MAXN,2025-03-04,10:04:00,3.22,3.10,3.47,10620,11:41:00,3.09,stop,-1373.17,-4.02,False,,0,0.00,26.49,295043,9.16,0.29,False,,3,6.73,9.53,2.10,1.80,0.30,0.00,0.30,0.30,0.00,2.100,2.468,0.20,0.00,28.73,2.319,2.468,
EWCZ,2025-03-11,09:56:00,4.13,3.97,4.48,15233,12:28:00,4.4,pp+trail_stop,3869.32,6.15,True,4.37,7616,1841.89,67.26,423153,8.44,-46.77,False,,2,49.63,6.14,3.00,1.80,0.00,0.30,0.30,0.30,0.20,3.300,2.118,0.20,0.00,51.08,3.756,2.118,
OPRX,2025-03-13,09:38:00,7.33,7.00,8.06,20000,12:02:00,6.98,stop,-7020.00,-4.79,False,,0,0.00,26.25,935817,4.11,0.80,False,,3,16.58,4.38,1.50,2.00,0.00,0.00,0.00,0.30,0.00,1.500,2.129,0.20,0.00,17.71,0.586,2.129,
HODO,2025-03-17,10:14:00,5.12,4.99,5.37,20000,10:15:00,4.98,stop,-2899.40,-2.83,False,,0,0.00,27.36,1214723,4.76,0.72,False,,2,5.86,4.21,2.30,2.00,0.30,0.00,0.30,0.30,0.20,2.300,1.884,0.20,0.00,19.54,27.547,1.884,
TBH,2025-03-17,10:14:00,5.12,4.99,5.37,20000,10:15:00,4.98,stop,-2899.40,-2.83,False,,0,0.00,27.36,1214723,4.76,0.72,False,,2,5.86,4.21,2.30,2.00,0.30,0.00,0.30,0.30,0.20,2.300,1.884,0.20,0.00,19.54,27.547,1.884,
KBSX,2025-03-19,10:07:00,3.87,3.70,4.25,18000,10:17:00,4.72,pp+trail_stop,11455.92,16.45,True,4.30,9000,3843.63,41.5,2714018,1.25,-36.25,False,,2,10.83,1.78,2.60,1.80,0.00,0.00,0.30,0.30,0.00,2.600,1.537,0.00,0.00,21.33,0.829,1.537,
OM,2025-03-20,10:26:00,10.02,9.66,10.79,13043,10:36:00,11.27,pp+trail_stop,14140.92,10.82,True,10.94,9000,8253.81,47.96,1110199,9.25,1322.62,False,,2,7.10,9.14,2.30,1.80,0.30,0.00,0.30,0.30,0.20,2.300,1.345,0.20,0.00,1706.45,2.508,1.345,
TITN,2025-03-20,09:44:00,15.34,14.57,16.85,8307,12:37:00,16.79,pp+trail_stop,10633.05,8.34,True,16.45,4153,4611.91,39.6,230755,8.50,-15.14,False,,2,11.12,9.10,2.50,1.80,0.00,0.00,0.00,0.30,0.00,2.500,1.345,0.20,0.00,24.72,1.144,1.345,
GDHG,2025-03-26,10:18:00,3.72,3.60,3.97,20000,10:19:00,3.59,stop,-2616.00,-3.52,False,,0,0.00,52.24,2679932,7.25,-12.60,False,0.03,2,10.12,7.73,2.00,2.00,0.00,0.30,0.30,0.00,0.20,2.000,0.857,0.20,0.00,19.55,0.551,0.857,
